delay, y, x, counts
10,0.200000,-0.900000,96853
10,0.300000,-0.900000,75483
10,0.400000,-0.900000,100055
10,0.500000,-0.900000,97724
10,0.600000,-0.900000,80420
10,0.700000,-0.900000,103184
10,0.800000,-0.900000,102483
10,0.900000,-0.900000,85947
10,-1.000000,-0.800000,102666
10,-0.900000,-0.800000,105009
10,-0.800000,-0.800000,108360
10,-0.700000,-0.800000,94422
10,-0.600000,-0.800000,94612
10,-0.500000,-0.800000,95815
10,-0.400000,-0.800000,104524
10,-0.300000,-0.800000,100486
10,-0.200000,-0.800000,98168
10,-0.100000,-0.800000,104167
10,0.000000,-0.800000,99080
10,0.100000,-0.800000,104015
10,0.200000,-0.800000,102573
10,0.300000,-0.800000,104774
10,0.400000,-0.800000,102399
10,0.500000,-0.800000,105950
10,0.600000,-0.800000,105268
10,0.700000,-0.800000,109224
10,0.800000,-0.800000,107961
10,0.900000,-0.800000,109646
10,-1.000000,-0.700000,103370
10,-0.900000,-0.700000,97934
10,-0.800000,-0.700000,98056
10,-0.700000,-0.700000,107105
10,-0.600000,-0.700000,100913
10,-0.500000,-0.700000,100838
10,-0.400000,-0.700000,110051
10,-0.300000,-0.700000,104890
10,-0.200000,-0.700000,105100
10,-0.100000,-0.700000,104592
10,0.000000,-0.700000,104074
10,0.100000,-0.700000,107665
10,0.200000,-0.700000,108865
10,0.300000,-0.700000,95173
10,0.400000,-0.700000,95234
10,0.500000,-0.700000,102779
10,0.600000,-0.700000,99124
10,0.700000,-0.700000,99810
10,0.800000,-0.700000,101257
10,0.900000,-0.700000,102340
10,-1.000000,-0.600000,95645
10,-0.900000,-0.600000,104385
10,-0.800000,-0.600000,98473
10,-0.700000,-0.600000,106712
10,-0.600000,-0.600000,109197
10,-0.500000,-0.600000,87965
10,-0.400000,-0.600000,94707
10,-0.300000,-0.600000,96028
10,-0.200000,-0.600000,96953
10,-0.100000,-0.600000,96879
10,0.000000,-0.600000,98154
10,0.100000,-0.600000,99938
10,0.200000,-0.600000,100104
10,0.300000,-0.600000,101671
10,0.400000,-0.600000,102338
10,0.500000,-0.600000,108578
10,0.600000,-0.600000,95542
10,0.700000,-0.600000,105421
10,0.800000,-0.600000,105286
10,0.900000,-0.600000,106664
10,-1.000000,-0.500000,107650
10,-0.900000,-0.500000,107441
10,-0.800000,-0.500000,95579
10,-0.700000,-0.500000,96795
10,-0.600000,-0.500000,96935
10,-0.500000,-0.500000,100210
10,-0.400000,-0.500000,102319
10,-0.300000,-0.500000,103378
10,-0.200000,-0.500000,105027
10,-0.100000,-0.500000,106566
10,0.000000,-0.500000,108486
10,0.100000,-0.500000,109211
10,0.200000,-0.500000,95244
10,0.300000,-0.500000,96196
10,0.400000,-0.500000,97231
10,0.500000,-0.500000,99135
10,0.600000,-0.500000,101197
10,0.700000,-0.500000,102073
10,0.800000,-0.500000,104185
10,0.900000,-0.500000,105114
10,-1.000000,-0.400000,106175
10,-0.900000,-0.400000,107289
10,-0.800000,-0.400000,108147
10,-0.700000,-0.400000,110082
10,-0.600000,-0.400000,95891
10,-0.500000,-0.400000,96648
10,-0.400000,-0.400000,97800
10,-0.300000,-0.400000,99720
10,-0.200000,-0.400000,101485
10,-0.100000,-0.400000,103560
10,0.000000,-0.400000,105976
10,0.100000,-0.400000,105309
10,0.200000,-0.400000,107938
10,0.300000,-0.400000,109119
10,0.400000,-0.400000,108937
10,0.500000,-0.400000,94994
10,0.600000,-0.400000,96121
10,0.700000,-0.400000,98246
10,0.800000,-0.400000,98603
10,0.900000,-0.400000,101184
10,-1.000000,-0.300000,102518
10,-0.900000,-0.300000,104039
10,-0.800000,-0.300000,106271
10,-0.700000,-0.300000,107043
10,-0.600000,-0.300000,109183
10,-0.500000,-0.300000,101115
10,-0.400000,-0.300000,96803
10,-0.300000,-0.300000,96750
10,-0.200000,-0.300000,98712
10,-0.100000,-0.300000,99834
10,0.000000,-0.300000,100522
10,0.100000,-0.300000,102810
10,0.200000,-0.300000,102972
10,0.300000,-0.300000,104890
10,0.400000,-0.300000,103794
10,0.500000,-0.300000,107429
10,0.600000,-0.300000,108313
10,0.700000,-0.300000,94424
10,0.800000,-0.300000,96168
10,0.900000,-0.300000,97525
10,-1.000000,-0.200000,96856
